"STATION","NAME","DATE","TMAX","TMIN"
"USC00290041","ABIQUIU DAM, NM US","1980-01-01","42","16"
"USC00290041","ABIQUIU DAM, NM US","1980-01-02","43","15"
"USC00290041","ABIQUIU DAM, NM US","1980-01-03","30","18"
"USC00290041","ABIQUIU DAM, NM US","1980-01-04","38","13"
"USC00290041","ABIQUIU DAM, NM US","1980-01-05","47","13"
"USC00290041","ABIQUIU DAM, NM US","1980-01-06","44","23"
"USC00290041","ABIQUIU DAM, NM US","1980-01-07","49","16"
"USC00290041","ABIQUIU DAM, NM US","1980-01-08","44","27"
"USC00290041","ABIQUIU DAM, NM US","1980-01-09","43","29"
"USC00290041","ABIQUIU DAM, NM US","1980-01-10","45","30"
"USC00290041","ABIQUIU DAM, NM US","1980-01-11","42","21"
"USC00290041","ABIQUIU DAM, NM US","1980-01-12","41","25"
"USC00290041","ABIQUIU DAM, NM US","1980-01-13","50","35"
"USC00290041","ABIQUIU DAM, NM US","1980-01-14","52","32"
"USC00290041","ABIQUIU DAM, NM US","1980-01-15","49","36"
"USC00290041","ABIQUIU DAM, NM US","1980-01-16","42","32"
"USC00290041","ABIQUIU DAM, NM US","1980-01-17","40","26"
"USC00290041","ABIQUIU DAM, NM US","1980-01-18","41","30"
"USC00290041","ABIQUIU DAM, NM US","1980-01-19","43","32"
"USC00290041","ABIQUIU DAM, NM US","1980-01-20","41","29"
"USC00290041","ABIQUIU DAM, NM US","1980-01-21","43","20"
"USC00290041","ABIQUIU DAM, NM US","1980-01-22","41","24"
"USC00290041","ABIQUIU DAM, NM US","1980-01-23","42","16"
"USC00290041","ABIQUIU DAM, NM US","1980-01-24","46","18"
"USC00290041","ABIQUIU DAM, NM US","1980-01-25","46","20"
"USC00290041","ABIQUIU DAM, NM US","1980-01-26","47","25"
"USC00290041","ABIQUIU DAM, NM US","1980-01-27","50","31"
"USC00290041","ABIQUIU DAM, NM US","1980-01-28","50","20"
"USC00290041","ABIQUIU DAM, NM US","1980-01-29","46","30"
"USC00290041","ABIQUIU DAM, NM US","1980-01-30","44","34"
"USC00290041","ABIQUIU DAM, NM US","1980-01-31","46","25"
"USC00290041","ABIQUIU DAM, NM US","1980-02-01","46","20"
"USC00290041","ABIQUIU DAM, NM US","1980-02-02","50","22"
"USC00290041","ABIQUIU DAM, NM US","1980-02-03","50","25"
"USC00290041","ABIQUIU DAM, NM US","1980-02-04","52","22"
"USC00290041","ABIQUIU DAM, NM US","1980-02-05","54","22"
"USC00290041","ABIQUIU DAM, NM US","1980-02-06","54","23"
"USC00290041","ABIQUIU DAM, NM US","1980-02-07","51","30"
"USC00290041","ABIQUIU DAM, NM US","1980-02-08","45","21"
